stationId,name,country,owner,type,status,stationHeight,barometerHeight,latitude,longitude,region,created,operationFrom,operationTo,updated,validFrom,validTo,wmoCountryCode,wmoStationId
4313,Henrik Krøyer Holme,GRL,DMI,GIWS,Active,,,80.65,-13.7167,4,2024-11-28T14:46:41Z,1984-08-29T00:00:00Z,,,1984-08-29T00:00:00Z,2009-08-07T00:00:00Z,6070,4313
4313,Henrik Krøyer Holme,GRL,DMI,GIWS,Active,8,,80.6494,-13.7119,4,2024-11-28T14:46:41Z,1984-08-29T00:00:00Z,,,2009-08-07T00:00:00Z,2019-01-15T13:34:47Z,6070,4313
4313,Henrik Krøyer Holme,GRL,DMI,GIWS,Active,8,10,80.6494,-13.7119,4,2024-11-28T14:46:41Z,1984-08-29T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4313
4320,Danmarkshavn,GRL,DMI,Synop,Active,11,,76.7694,-18.6681,4,2024-11-28T14:46:41Z,1948-11-05T00:00:00Z,,,1948-11-05T00:00:00Z,2019-01-15T13:34:47Z,6070,4320
4320,Danmarkshavn,GRL,DMI,Synop,Active,11,12,76.7694,-18.6681,4,2024-11-28T14:46:41Z,1948-11-05T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4320
4330,Daneborg,GRL,DMI,GIWS,Active,,,74.3,-20.2167,4,2024-11-28T14:46:41Z,1946-08-01T00:00:00Z,,,1946-08-01T00:00:00Z,2009-08-10T00:00:00Z,6070,4330
4330,Daneborg,GRL,DMI,GIWS,Active,13,,74.3075,-20.2169,4,2024-11-28T14:46:41Z,1946-08-01T00:00:00Z,,,2009-08-10T00:00:00Z,2019-01-15T13:34:47Z,6070,4330
4330,Daneborg,GRL,DMI,GIWS,Active,13,15,74.3075,-20.2169,4,2024-11-28T14:46:41Z,1946-08-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4330
4339,Ittoqqortoormiit,GRL,DMI,Synop,Active,70,,70.4833,-21.95,4,2024-11-28T14:46:41Z,1980-11-01T00:00:00Z,,,1980-11-01T00:00:00Z,2005-08-17T00:00:00Z,6070,4339
4339,Ittoqqortoormiit,GRL,DMI,Synop,Active,70,,70.4844,-21.9511,4,2024-11-28T14:46:41Z,1980-11-01T00:00:00Z,,,2005-08-17T00:00:00Z,2019-01-15T13:34:47Z,6070,4339
4339,Ittoqqortoormiit,GRL,DMI,Synop,Active,70,71.46,70.4844,-21.9511,4,2024-11-28T14:46:41Z,1980-11-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4339
4341,Mittarfik Nerlerit Inaat,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,14,,70.7431,-22.6506,4,2024-11-28T14:46:41Z,1985-10-01T00:00:00Z,,,1985-10-01T00:00:00Z,2019-01-15T13:34:47Z,6070,4341
4341,Mittarfik Nerlerit Inaat,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,14,12,70.7431,-22.6506,4,2024-11-28T14:46:41Z,1985-10-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4341
4351,Aputiteeq,GRL,DMI,GIWS,Active,12,,67.7817,-32.2842,4,2024-11-28T14:46:41Z,1979-07-01T00:00:00Z,,,1979-07-01T00:00:00Z,2019-01-15T13:34:47Z,6070,4351
4351,Aputiteeq,GRL,DMI,GIWS,Active,12,14,67.7817,-32.2842,4,2024-11-28T14:46:41Z,1979-07-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4351
4360,Tasiilaq,GRL,DMI,Synop,Active,,,65.6,-37.6333,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1958-01-01T00:00:00Z,1982-04-01T00:00:00Z,6070,4360
4360,Tasiilaq,GRL,DMI,Synop,Active,,,65.6,-37.6167,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1982-04-01T00:00:00Z,2005-08-15T00:00:00Z,6070,4360
4360,Tasiilaq,GRL,DMI,Synop,Active,54,,65.6111,-37.6367,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2005-08-15T00:00:00Z,2019-01-15T13:34:47Z,6070,4360
4360,Tasiilaq,GRL,DMI,Synop,Active,54,55.93,65.6111,-37.6367,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4360
4361,Mittarfik Kulusuk,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,35,,65.5736,-37.1236,4,2024-11-28T14:46:41Z,1986-02-03T00:00:00Z,,,1986-02-03T00:00:00Z,2019-01-15T13:34:47Z,6070,4361
4361,Mittarfik Kulusuk,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,35,37,65.5736,-37.1236,4,2024-11-28T14:46:41Z,1986-02-03T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4361
4373,Ikermit,GRL,DMI,GIWS,Active,78,,64.7833,-40.3,4,2024-11-28T14:46:41Z,1987-05-31T00:00:00Z,,,1987-05-31T00:00:00Z,2009-09-09T00:00:00Z,6070,4373
4373,Ikermit,GRL,DMI,GIWS,Active,78,,64.7819,-40.3017,4,2024-11-28T14:46:41Z,1987-05-31T00:00:00Z,,,2009-09-09T00:00:00Z,2019-01-15T13:34:47Z,6070,4373
4373,Ikermit,GRL,DMI,GIWS,Active,78,80,64.7819,-40.3017,4,2024-11-28T14:46:41Z,1987-05-31T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4373
4382,Ikermiuarssuk,GRL,DMI,GIWS,Active,39.59,,61.9367,-42.0675,4,2024-11-28T14:46:41Z,1980-06-18T00:00:00Z,,,1980-06-18T00:00:00Z,2010-08-17T00:00:00Z,6070,4382
4382,Ikermiuarssuk,GRL,DMI,GIWS,Active,39.59,,61.9364,-42.0678,4,2024-11-28T14:46:41Z,1980-06-18T00:00:00Z,,,2010-08-17T00:00:00Z,2019-01-15T13:34:47Z,6070,4382
4382,Ikermiuarssuk,GRL,DMI,GIWS,Active,39.59,41.61,61.9364,-42.0678,4,2024-11-28T14:46:41Z,1980-06-18T00:00:00Z,,,2019-01-15T13:34:47Z,2019-10-04T12:10:24Z,6070,4382
4382,Ikermiuarssuk,GRL,DMI,GIWS,Active,40,41.61,61.9364,-42.0678,4,2024-11-28T14:46:41Z,1980-06-18T00:00:00Z,,,2019-10-04T12:10:24Z,,6070,4382
4390,Ikerasassuaq,GRL,DMI,Synop,Active,,,60.0333,-43.1167,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1958-01-01T00:00:00Z,1980-10-10T00:00:00Z,6070,4390
4390,Ikerasassuaq,GRL,DMI,Synop,Active,,,60.05,-43.1667,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1980-10-10T00:00:00Z,1992-07-01T00:00:00Z,6070,4390
4390,Ikerasassuaq,GRL,DMI,Synop,Active,88,,60.0553,-43.1653,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1992-07-01T00:00:00Z,2019-01-15T13:34:47Z,6070,4390
4390,Ikerasassuaq,GRL,DMI,Synop,Active,88,74.75,60.0553,-43.1653,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,2021-06-23T08:47:21Z,6070,4390
4390,Ikerasassuaq,GRL,DMI,GIWS,Active,88,95,60.0553,-43.1653,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2021-06-23T08:47:21Z,2021-12-16T12:34:00Z,6070,4390
4390,Ikerasassuaq,GRL,DMI,GIWS,Active,139.5,141,60.0553,-43.1653,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2021-12-16T12:34:00Z,,6070,4390
4416,Summit,GRL,DMI,GIWS,Active,3220,,72.5833,-38.45,4,2024-11-28T14:46:41Z,1997-08-22T00:00:00Z,2019-10-11T00:00:00Z,,1997-08-22T00:00:00Z,2019-01-15T13:34:47Z,6070,4416
4416,Summit,GRL,DMI,GIWS,Active,3220,3207,72.5833,-38.45,4,2024-11-28T14:46:41Z,1997-08-22T00:00:00Z,2019-10-11T00:00:00Z,,2019-01-15T13:34:47Z,2019-10-11T00:00:00Z,6070,4416
4416,Summit,GRL,DMI,GIWS,Inactive,3220,3207,72.5833,-38.45,4,2024-11-28T14:46:41Z,1997-08-22T00:00:00Z,2019-10-11T00:00:00Z,,2019-10-11T00:00:00Z,,6070,4416
5005,Uggerby,DNK,DMI,Pluvio,Active,8,,57.5705,10.1074,6,2024-11-28T14:46:41Z,2009-12-16T00:00:00Z,,,2009-12-16T00:00:00Z,,,
5009,Nørre Lyngby N,DNK,DMI,Pluvio,Active,22,,57.4185,9.7607,6,2024-11-28T14:46:41Z,2010-04-13T00:00:00Z,,,2010-04-13T00:00:00Z,2021-09-20T09:05:25Z,,
5009,Nørre Lyngby N,DNK,DMI,Pluvio,Active,22,,57.4219,9.7612,6,2024-11-28T14:46:41Z,2010-04-13T00:00:00Z,,,2021-09-20T09:05:25Z,,,
5015,Lendum,DNK,DMI,Pluvio,Active,61,,57.4029,10.2704,6,2024-11-28T14:46:41Z,2009-12-16T00:00:00Z,,,2009-12-16T00:00:00Z,,,
5031,Byrum,DNK,DMI,Pluvio,Active,5,,57.2746,11.0292,6,2024-11-28T14:46:41Z,2010-04-13T00:00:00Z,,,2010-04-13T00:00:00Z,,,
5035,Voerså Hede,DNK,DMI,Pluvio,Active,22,,57.2215,10.471,6,2024-11-28T14:46:41Z,2009-12-16T00:00:00Z,,,2009-12-16T00:00:00Z,,,
5042,Møllegård Huse,DNK,DMI,Pluvio,Active,7,,56.9564,10.2232,6,2024-11-28T14:46:41Z,2014-10-30T00:00:00Z,,,2014-10-30T00:00:00Z,,,
5065,Mørkeskov,DNK,DMI,Pluvio,Active,85,,56.8136,9.8247,6,2024-11-28T14:46:41Z,2009-12-15T00:00:00Z,,,2009-12-15T00:00:00Z,2011-11-02T00:00:00Z,,
