id,latitude,longitude
28590,54.9462,10.7234
29020,55.8686,11.6064
29194,55.639,11.4935
29243,55.4069,11.862
29243,55.4026,11.8648
29330,55.5271,11.2379
29330,55.5184,11.2341
29440,55.2465,11.3284
30075,56.0428,12.2918
30187,55.8796,12.4115
30187,55.8796,12.4115
30215,55.7161,12.5622
30414,55.6343,12.0747
30414,55.6429,12.0424
31040,55.2932,12.4223
31185,55.0984,11.8285
31199,55.2074,12.0979
31259,54.9963,12.444
31259,54.9595,12.245
31350,54.8073,11.3405
31350,54.8073,11.3405
31400,54.826,11.1541
31509,54.7926,11.9101
31509,54.779,11.9315
31509,54.779,11.9315
31570,54.6573,11.3515
32110,55.1069,14.8205
32175,55.1635,14.97
34270,61.1575,-45.44
34320,76.7694,-18.6681
34339,70.4844,-21.9511
