feature_station_21006847_vst_raw,feature_station_21006845_vst_raw,vst_raw,feature_station_21006845_rainfall,temperature,feature_station_21006847_rainfall,rainfall,vst_raw_cleaned,is_anomaly
688.32,2098.07,1169.86,0.2,1.7,0.3,0.0,1169.86,False
692.55,2102.72,1174.72,0.2,1.7,0.3,0.0,1174.72,False
689.41,2100.87,1166.48,0.2,1.7,0.3,0.0,1166.48,False
688.72,2101.09,1172.67,0.2,1.7,0.3,0.0,1172.67,False
685.53,2102.42,1171.32,0.3,1.7,0.1,0.0,1171.32,False
684.67,2099.96,1175.12,0.3,1.7,0.1,0.0,1175.12,False
685.95,2102.92,1163.87,0.3,1.7,0.1,0.0,1163.87,False
687.98,2104.44,1166.97,0.3,1.7,0.1,0.0,1166.97,False
683.44,2105.98,1169.83,0.2,1.7,0.0,0.0,1169.83,False
682.73,2108.63,1169.4,0.2,1.7,0.0,0.0,1169.4,False
677.9,2102.24,1165.21,0.2,1.7,0.0,0.0,1165.21,False
683.3,2098.91,1170.9,0.2,1.7,0.0,0.0,1170.9,False
679.63,2107.77,1162.98,0.1,1.7,0.0,0.0,1162.98,False
679.27,2105.7,1158.91,0.1,1.7,0.0,0.0,1158.91,False
680.68,2103.93,1161.58,0.1,1.7,0.0,0.0,1161.58,False
678.37,2107.46,1163.0,0.1,1.7,0.0,0.0,1163.0,False
677.0,2108.92,1159.5,0.2,1.7,0.0,0.0,1159.5,False
671.79,2109.41,1160.09,0.2,1.7,0.0,0.0,1160.09,False
674.35,2106.67,1156.76,0.2,1.7,0.0,0.0,1156.76,False
674.42,2106.09,1155.88,0.2,1.7,0.0,0.0,1155.88,False
680.26,2102.54,1155.07,0.0,1.7,0.0,0.0,1155.07,False
676.2,2107.12,1154.41,0.0,1.7,0.0,0.0,1154.41,False
675.89,2105.27,1154.12,0.0,1.7,0.0,0.0,1154.12,False
673.62,2104.09,1152.7,0.0,1.7,0.0,0.0,1152.7,False
672.15,2106.75,1153.84,0.0,1.7,0.0,0.0,1153.84,False
667.61,2104.27,1152.84,0.0,1.7,0.0,0.0,1152.84,False
667.49,2106.11,1153.56,0.0,1.7,0.0,0.0,1153.56,False
672.64,2103.66,1150.2,0.0,1.7,0.0,0.0,1150.2,False
672.16,2101.86,1152.55,0.0,1.7,0.0,0.0,1152.55,False
664.43,2108.18,1149.21,0.0,1.7,0.0,0.0,1149.21,False
673.6,2108.92,1150.87,0.0,1.7,0.0,0.0,1150.87,False
661.3,2106.55,1146.52,0.0,1.7,0.0,0.0,1146.52,False
666.63,2099.28,1145.03,0.0,1.7,0.0,0.3,1145.03,False
669.87,2098.17,1148.38,0.0,1.7,0.0,0.3,1148.38,False
661.44,2104.83,1142.02,0.0,1.7,0.0,0.3,1142.02,False
662.8,2100.21,1145.67,0.0,1.7,0.0,0.3,1145.67,False
662.41,2101.45,1143.44,0.0,1.7,0.1,0.9,1143.44,False
659.55,2099.25,1144.22,0.0,1.7,0.1,0.9,1144.22,False
663.82,2101.84,1143.31,0.0,1.7,0.1,0.9,1143.31,False
659.91,2098.91,1141.97,0.0,1.7,0.1,0.9,1141.97,False
657.19,2103.95,1140.1,0.0,1.7,0.7,0.3,1140.1,False
657.1,2102.52,1139.19,0.0,1.7,0.7,0.3,1139.19,False
658.04,2103.11,1139.13,0.0,1.7,0.7,0.3,1139.13,False
659.71,2105.73,1138.58,0.0,1.7,0.7,0.3,1138.58,False
655.86,2104.35,1139.24,0.0,1.7,0.0,0.5,1139.24,False
652.38,2099.0,1134.47,0.0,1.7,0.0,0.5,1134.47,False
659.4,2101.01,1130.87,0.0,1.7,0.0,0.5,1130.87,False
661.95,2097.43,1136.97,0.0,1.7,0.0,0.5,1136.97,False
660.16,2106.73,1132.07,0.0,1.7,0.0,0.4,1132.07,False
662.26,2099.42,1130.07,0.0,1.7,0.0,0.4,1130.07,False
660.99,2101.84,1133.28,0.0,1.7,0.0,0.4,1133.28,False
659.87,2103.28,1136.05,0.0,1.7,0.0,0.4,1136.05,False
660.19,2099.81,1130.64,0.3,1.7,0.0,0.6,1130.64,False
658.94,2099.94,1129.43,0.3,1.7,0.0,0.6,1129.43,False
658.64,2101.88,1127.07,0.3,1.7,0.0,0.6,1127.07,False
665.88,2103.97,1130.61,0.3,1.7,0.0,0.6,1130.61,False
662.96,2098.37,1129.2,0.0,1.7,0.3,0.8,1129.2,False
664.51,2098.02,1128.41,0.0,1.7,0.3,0.8,1128.41,False
667.49,2097.04,1128.26,0.0,1.7,0.3,0.8,1128.26,False
658.11,2101.88,1127.25,0.0,1.7,0.3,0.8,1127.25,False
663.19,2095.73,1130.89,0.1,1.7,0.7,1.7,1130.89,False
664.26,2100.02,1129.01,0.1,1.7,0.7,1.7,1129.01,False
669.65,2096.12,1129.16,0.1,1.7,0.7,1.7,1129.16,False
658.62,2100.74,1130.1,0.1,1.7,0.7,1.7,1130.1,False
656.7,2103.51,1125.96,0.6,1.7,0.4,1.7,1125.96,False
659.91,2096.45,1131.91,0.6,1.7,0.4,1.7,1131.91,False
662.22,2098.68,1132.13,0.6,1.7,0.4,1.7,1132.13,False
660.86,2097.54,1133.97,0.6,1.7,0.4,1.7,1133.97,False
661.12,2099.01,1132.61,0.3,1.7,0.3,1.6,1132.61,False
658.81,2100.3,1135.2,0.3,1.7,0.3,1.6,1135.2,False
654.23,2100.54,1136.62,0.3,1.7,0.3,1.6,1136.62,False
658.75,2101.92,1134.07,0.3,1.7,0.3,1.6,1134.07,False
656.41,2098.1,1136.86,0.5,1.7,0.3,1.4,1136.86,False
650.2,2093.49,1134.04,0.5,1.7,0.3,1.4,1134.04,False
657.69,2099.41,1132.68,0.5,1.7,0.3,1.4,1132.68,False
657.3,2103.86,1134.32,0.5,1.7,0.3,1.4,1134.32,False
656.81,2106.57,1133.55,0.8,1.7,0.3,1.8,1133.55,False
652.91,2099.49,1134.01,0.8,1.7,0.3,1.8,1134.01,False
658.32,2098.1,1138.52,0.8,1.7,0.3,1.8,1138.52,False
652.22,2101.73,1137.58,0.8,1.7,0.3,1.8,1137.58,False
648.36,2103.58,1136.12,1.2,1.7,0.5,2.3,1136.12,False
652.97,2100.95,1136.71,1.2,1.7,0.5,2.3,1136.71,False
655.76,2104.76,1136.8,1.2,1.7,0.5,2.3,1136.8,False
650.98,2105.72,1129.39,1.2,1.7,0.5,2.3,1129.39,False
654.48,2106.1,1135.78,1.2,1.7,0.4,1.0,1135.78,False
646.4,2109.13,1134.81,1.2,1.7,0.4,1.0,1134.81,False
656.14,2102.6,1138.64,1.2,1.7,0.4,1.0,1138.64,False
650.96,2106.56,1139.63,1.2,1.7,0.4,1.0,1139.63,False
649.79,2109.99,1145.52,1.1,1.7,0.1,1.0,1145.52,False
648.98,2108.55,1142.47,1.1,1.7,0.1,1.0,1142.47,False
647.75,2108.24,1144.22,1.1,1.7,0.1,1.0,1144.22,False
651.49,2111.86,1140.13,1.1,1.7,0.1,1.0,1140.13,False
654.97,2115.33,1142.03,0.9,1.7,0.2,1.3,1142.03,False
652.63,2109.32,1135.99,0.9,1.7,0.2,1.3,1135.99,False
647.99,2106.46,1146.61,0.9,1.7,0.2,1.3,1146.61,False
648.57,2109.74,1145.02,0.9,1.7,0.2,1.3,1145.02,False
650.43,2105.13,1137.6,0.7,1.7,0.3,0.8,1137.6,False
650.93,2112.05,1141.36,0.7,1.7,0.3,0.8,1141.36,False
650.42,2115.58,1142.86,0.7,1.7,0.3,0.8,1142.86,False
649.17,2116.66,1143.92,0.7,1.7,0.3,0.8,1143.92,False
647.93,2115.57,1138.85,0.5,1.7,0.2,0.6,1138.85,False
650.45,2113.84,1144.27,0.5,1.7,0.2,0.6,1144.27,False
650.9,2115.0,1134.85,0.5,1.7,0.2,0.6,1134.85,False
654.14,2119.88,1139.82,0.5,1.7,0.2,0.6,1139.82,False
657.6,2119.66,1145.15,0.3,1.7,0.2,0.6,1145.15,False
652.06,2117.02,1137.15,0.3,1.7,0.2,0.6,1137.15,False
664.95,2113.72,1141.92,0.3,1.7,0.2,0.6,1141.92,False
663.29,2114.97,1140.74,0.3,1.7,0.2,0.6,1140.74,False
673.62,2112.31,1142.36,0.5,1.7,0.1,0.5,1142.36,False
673.73,2124.41,1142.91,0.5,1.7,0.1,0.5,1142.91,False
671.66,2119.07,1141.71,0.5,1.7,0.1,0.5,1141.71,False
671.0,2121.23,1144.23,0.5,1.7,0.1,0.5,1144.23,False
670.72,2115.94,1141.95,0.2,1.7,1.4,0.3,1141.95,False
673.46,2114.61,1143.21,0.2,1.7,1.4,0.3,1143.21,False
